Workload1,Workload2,workload_online,workload_offline,Thread_combination,weight_Throughput_sum,Power,Duration,Energy,selected_model_freq,online_smact,estimated_offline_smact,estimated_offline_partition,ThreadCombination_online_offline,Weighted_Thruput_Online_Offline,estimated_best_partition_throughput,actual_best_partition_throughput,estimated_to_actual_ratio,w1_optimal_percentage,w2_optimal_percentage
bert-base-cased_batch2-inf,bert-base-cased_batch2-inf,bert-base-cased_batch2-inf,bert-base-cased_batch2-inf,"(w1_90, w2_10)",37.906,93.96842016806724,298.669,28084.03604,freq300,91.17280701754386,8.82719298245614,10,"(online_90, offline_10)",37.906,37.906,40.089,0.9455461597944573,90,10
transpose_batch2-cuda_samples,whisper-large-v2_batch2-inf,whisper-large-v2_batch2-inf,transpose_batch2-cuda_samples,"(w1_10, w2_90)",38.197,93.85409221902016,1743.12,163617.5101,freq900,91.29999999999998,8.700000000000017,10,"(online_90, offline_10)",38.197,38.197,453.389,0.08424774310801542,10,90
transpose_batch2-cuda_samples,vit_h_14_batch2-train,transpose_batch2-cuda_samples,vit_h_14_batch2-train,"(w1_80, w2_20)",343.053,94.94877333333334,187.921,17862.55805,freq900,80.77651515151517,19.22348484848483,20,"(online_80, offline_20)",343.053,343.053,434.785,0.7890175604034178,80,20
sortingNetworks_batch2-cuda_samples,wav2vec2-base-960h_batch2-inf,wav2vec2-base-960h_batch2-inf,sortingNetworks_batch2-cuda_samples,"(w1_20, w2_80)",42.036,95.08835114169888,590.8365,56199.81251,freq900,82.68936170212766,17.310638297872345,20,"(online_80, offline_20)",42.036,42.036,89.723,0.4685086321233129,20,80
sortingNetworks_batch2-cuda_samples,whisper-large-v2_batch2-inf,whisper-large-v2_batch2-inf,sortingNetworks_batch2-cuda_samples,"(w1_10, w2_90)",11.905,94.03172664952872,1172.525,110272.4494,freq900,91.29999999999998,8.700000000000017,10,"(online_90, offline_10)",11.905,11.905,90.02600000000001,0.13223957523382132,10,90
sortingNetworks_batch2-cuda_samples,vit_h_14_batch2-train,sortingNetworks_batch2-cuda_samples,vit_h_14_batch2-train,"(w1_80, w2_20)",76.027,95.55666634615386,165.5385,15836.710674999998,freq900,83.37761194029852,16.62238805970148,20,"(online_80, offline_20)",76.027,76.027,85.369,0.8905691761646499,80,20
fastWalshTransform_batch2-cuda_samples,whisper-large-v2_batch2-inf,whisper-large-v2_batch2-inf,fastWalshTransform_batch2-cuda_samples,"(w1_10, w2_90)",9.714,93.87224259440627,1032.186,96911.549575,freq900,91.29999999999998,8.700000000000017,10,"(online_90, offline_10)",9.714,9.714,70.40299999999999,0.1379770748405608,10,90
cudaTensorCoreGemm_batch2-cuda_samples,whisper-large-v2_batch2-inf,whisper-large-v2_batch2-inf,cudaTensorCoreGemm_batch2-cuda_samples,"(w1_10, w2_90)",9.836,94.0740458336844,5962.585,560942.67144,freq900,91.29999999999998,8.700000000000017,10,"(online_90, offline_10)",9.836,9.836,126.896,0.077512293531711,10,90
cudaTensorCoreGemm_batch2-cuda_samples,vit_h_14_batch2-train,cudaTensorCoreGemm_batch2-cuda_samples,vit_h_14_batch2-train,"(w1_90, w2_10)",129.995,96.82913770913774,389.734,37758.24315,freq900,98.47526315789472,1.524736842105284,10,"(online_90, offline_10)",129.995,129.995,129.995,1.0,90,10
bert-base-cased_batch2-train,reductionMultiBlockCG_batch2-cuda_samples,reductionMultiBlockCG_batch2-cuda_samples,bert-base-cased_batch2-train,"(w1_10, w2_90)",472.474,94.61794871794872,136.666,12949.62344,freq900,91.6794392523365,8.320560747663507,10,"(online_90, offline_10)",472.474,472.474,472.474,1.0,10,90
mobilenet_batch2-train,reductionMultiBlockCG_batch2-cuda_samples,mobilenet_batch2-train,reductionMultiBlockCG_batch2-cuda_samples,"(w1_10, w2_90)",641.3449999999999,95.81807174887888,111.993,10727.89195,freq900,5.3343750000000005,94.665625,90,"(online_10, offline_90)",641.3449999999999,641.3449999999999,641.3449999999999,1.0,10,90
mobilenet_batch2-train,transpose_batch2-cuda_samples,mobilenet_batch2-train,transpose_batch2-cuda_samples,"(w1_10, w2_90)",547.7330000000001,95.69235741444864,131.611,12614.41027,freq900,5.3343750000000005,94.665625,90,"(online_10, offline_90)",547.7330000000001,547.7330000000001,547.7330000000001,1.0,10,90
mobilenet_batch2-train,sortingNetworks_batch2-cuda_samples,sortingNetworks_batch2-cuda_samples,mobilenet_batch2-train,"(w1_20, w2_80)",156.17000000000002,96.48405204460968,134.597,13001.98364,freq900,83.37761194029852,16.62238805970148,20,"(online_80, offline_20)",156.17000000000002,156.17000000000002,156.17000000000002,1.0,20,80
reductionMultiBlockCG_batch2-cuda_samples,wav2vec2-base-960h_batch2-inf,wav2vec2-base-960h_batch2-inf,reductionMultiBlockCG_batch2-cuda_samples,"(w1_20, w2_80)",100.113,95.43461628420698,824.325,78681.81578,freq900,82.68936170212766,17.310638297872345,20,"(online_80, offline_20)",100.113,100.113,509.588,0.19645870781886543,20,80
reductionMultiBlockCG_batch2-cuda_samples,vit-base-patch16-224_batch2-inf,vit-base-patch16-224_batch2-inf,reductionMultiBlockCG_batch2-cuda_samples,"(w1_60, w2_40)",346.62300000000005,95.35768674698797,208.026,19856.51698,freq900,44.15744680851064,55.84255319148936,60,"(online_40, offline_60)",346.62300000000005,346.62300000000005,532.1750000000001,0.6513327382909757,60,40
reductionMultiBlockCG_batch2-cuda_samples,whisper-large-v2_batch2-inf,whisper-large-v2_batch2-inf,reductionMultiBlockCG_batch2-cuda_samples,"(w1_10, w2_90)",32.254,94.5511389632514,2064.477,195221.48737,freq900,91.29999999999998,8.700000000000017,10,"(online_90, offline_10)",32.254,32.254,513.764,0.06277979772813977,10,90
