workload1,workload2,freq1,freq2,iterations,w1_proposal_percentage,w2_proposal_percentage,w1_fair_percentage,w2_fair_percentage,w1_optimal_percentage,w2_optimal_percentage,total_throughput_at_selected,w1_throughput_at_selected,w2_throughput_at_selected,w1_arrival,w2_arrival,w1_change_factor,w2_change_factor,w1_residual_selected,w2_residual_selected
albert-base-v2_batch2-train,sortingNetworks_batch2-cuda_samples,300.0,300.0,2,80.0,70.0,53.33333333333333,46.666666666666664,50.0,50.0,19.578000000000003,2.615,16.963,4.98087699012719,30.024213075060533,0.9047330746184282,0.7699824957295603,-2.36587699012719,-13.061213075060532
albert-base-v2_batch2-train,transpose_batch2-cuda_samples,300.0,300.0,2,80.0,50.0,61.53846153846154,38.46153846153847,60.0,40.0,66.458,3.167,63.291,4.98087699012719,137.4448,0.5727429713063438,1.1716326175917586,-1.8138769901271905,-74.15379999999999
albert-base-v2_batch2-train,vit-base-patch16-224_batch2-inf,300.0,300.0,2,80.0,50.0,61.53846153846154,38.46153846153847,60.0,40.0,17.972,3.283,14.689,4.98087699012719,28.79960639952206,0.5171724002824217,0.960624031555726,-1.6978769901271904,-14.110606399522059
albert-base-v2_batch2-train,vit_h_14_batch2-train,300.0,300.0,2,80.0,80.0,50.0,50.0,50.0,50.0,3.36,2.649,0.711,4.98087699012719,1.3865983171738605,0.8802857644874256,0.9502086036200571,-2.3318769901271903,-0.6755983171738605
albert-base-v2_batch2-train,wav2vec2-base-960h_batch2-inf,300.0,300.0,2,80.0,80.0,50.0,50.0,50.0,50.0,7.9510000000000005,2.714,5.237,4.98087699012719,9.683122051755843,0.8352531282708882,0.8489826335222156,-2.2668769901271903,-4.446122051755843
albert-base-v2_batch2-train,whisper-large-v2_batch2-inf,300.0,300.0,2,80.0,60.0,57.142857142857146,42.85714285714286,60.0,40.0,3.5229999999999997,3.271,0.252,4.98087699012719,0.638458413140635,0.5227383033100552,1.5335651315104564,-1.7098769901271904,-0.386458413140635
bert-base-cased_batch2-inf,bert-base-cased_batch2-inf,300.0,300.0,2,90.0,90.0,50.0,50.0,50.0,50.0,16.552999999999997,8.277,8.276,15.597551237689649,15.597551237689649,0.8844449967004531,0.884672696675888,-7.320551237689649,-7.321551237689649
bert-base-cased_batch2-inf,bert-base-cased_batch2-train,300.0,300.0,2,90.0,60.0,60.0,40.0,60.0,40.0,11.812,9.748,2.064,15.597551237689649,4.641879871038824,0.6000770658278262,1.248972805735864,-5.849551237689649,-2.5778798710388235
bert-base-cased_batch2-inf,cudaTensorCoreGemm_batch2-cuda_samples,300.0,300.0,2,90.0,80.0,52.94117647058824,47.05882352941177,50.0,50.0,31.412,8.189,23.223,15.597551237689649,49.26108374384236,0.904695474134772,1.1212196418999425,-7.4085512376896485,-26.038083743842364
bert-base-cased_batch2-inf,fastWalshTransform_batch2-cuda_samples,300.0,300.0,2,90.0,60.0,60.0,40.0,60.0,40.0,21.434,9.364,12.07,15.597551237689649,25.884299,0.6656932120557078,1.144515244407622,-6.233551237689648,-13.814298999999998
