workload1,workload2,w1_optimal_percentage,w2_optimal_percentage,max_xput_sum,w1_throughput_at_optimal,w2_throughput_at_optimal
mobilenet_v2_1.0_224_batch2-inf,vit-base-patch16-224_batch2-inf,30.0,70.0,0.06348475824175999,0.015334,0.04815075824175999
mobilenet_v2_1.0_224_batch2-inf,vit_h_14_batch2-train,30.0,70.0,1.112707549450552,0.015431,1.097276549450552
mobilenet_v2_1.0_224_batch2-inf,wav2vec2-base-960h_batch2-inf,30.0,70.0,0.16680514285714398,0.015556,0.151249142857144
mobilenet_v2_1.0_224_batch2-inf,whisper-large-v2_batch2-inf,30.0,70.0,2.511262307692308,0.015573,2.495689307692308
reductionMultiBlockCG_batch2-cuda_samples,resnet-50_batch2-inf,30.0,70.0,0.039297672727273,0.016845,0.022452672727273
reductionMultiBlockCG_batch2-cuda_samples,resnet-50_batch2-train,30.0,70.0,0.057143120879124,0.01753,0.039613120879124004
reductionMultiBlockCG_batch2-cuda_samples,vit-base-patch16-224_batch2-inf,30.0,70.0,0.065698164835168,0.017344,0.048354164835168
reductionMultiBlockCG_batch2-cuda_samples,vit_h_14_batch2-train,30.0,70.0,1.129841934065936,0.01853,1.111311934065936
reductionMultiBlockCG_batch2-cuda_samples,wav2vec2-base-960h_batch2-inf,30.0,70.0,0.17029186813187203,0.017404,0.15288786813187202
reductionMultiBlockCG_batch2-cuda_samples,whisper-large-v2_batch2-inf,30.0,70.0,2.5744176593406602,0.017832,2.5565856593406604
resnet-50_batch2-inf,resnet-50_batch2-inf,40.0,60.0,0.048795145454545996,0.025655,0.023140145454546
resnet-50_batch2-inf,resnet-50_batch2-train,40.0,60.0,0.06907286813187101,0.025946,0.043126868131871006
sortingNetworks_batch2-cuda_samples,resnet-50_batch2-inf,30.0,70.0,0.115042090909092,0.092498,0.022544090909092
transpose_batch2-cuda_samples,resnet-50_batch2-inf,30.0,70.0,0.041905145454546,0.019272,0.022633145454546002
resnet-50_batch2-inf,vit-base-patch16-224_batch2-inf,40.0,60.0,0.083376923076924,0.0255,0.057876923076924006
resnet-50_batch2-inf,vit_h_14_batch2-train,40.0,60.0,1.3975931428571453,0.025741,1.3718521428571453
resnet-50_batch2-inf,wav2vec2-base-960h_batch2-inf,40.0,60.0,0.213598791208792,0.025478,0.188120791208792
resnet-50_batch2-inf,whisper-large-v2_batch2-inf,40.0,60.0,3.204104516483518,0.025684,3.1784205164835178
resnet-50_batch2-train,resnet-50_batch2-train,30.0,70.0,0.09533224175824401,0.055273,0.040059241758244005
sortingNetworks_batch2-cuda_samples,resnet-50_batch2-train,30.0,70.0,0.13418683516483598,0.093545,0.04064183516483599
transpose_batch2-cuda_samples,resnet-50_batch2-train,30.0,70.0,0.060586593406596,0.019816,0.040770593406596
vit-base-patch16-224_batch2-inf,resnet-50_batch2-train,30.0,70.0,0.131010351648352,0.091358,0.039652351648352
resnet-50_batch2-train,vit_h_14_batch2-train,30.0,70.0,1.1674874175824201,0.055402,1.1120854175824202
wav2vec2-base-960h_batch2-inf,resnet-50_batch2-train,30.0,70.0,0.342946436363638,0.302847,0.040099436363638
whisper-large-v2_batch2-inf,resnet-50_batch2-train,30.0,70.0,5.359023131868132,5.319149,0.039874131868132004
sortingNetworks_batch2-cuda_samples,vit-base-patch16-224_batch2-inf,30.0,70.0,0.1425591978022,0.093145,0.0494141978022
sortingNetworks_batch2-cuda_samples,vit_h_14_batch2-train,30.0,70.0,1.21691778021978,0.094029,1.12288878021978
sortingNetworks_batch2-cuda_samples,wav2vec2-base-960h_batch2-inf,30.0,70.0,0.24867700000000004,0.093467,0.15521000000000004
sortingNetworks_batch2-cuda_samples,whisper-large-v2_batch2-inf,30.0,70.0,2.6933665357142904,0.093791,2.5995755357142905
transpose_batch2-cuda_samples,vit-base-patch16-224_batch2-inf,30.0,70.0,0.06883175824176001,0.019801,0.04903075824176001
transpose_batch2-cuda_samples,vit_h_14_batch2-train,30.0,70.0,1.139913912087912,0.020563,1.119350912087912
transpose_batch2-cuda_samples,wav2vec2-base-960h_batch2-inf,30.0,70.0,0.1748961978022,0.020049,0.1548471978022
transpose_batch2-cuda_samples,whisper-large-v2_batch2-inf,30.0,70.0,2.604251923076924,0.020278,2.583973923076924
vit-base-patch16-224_batch2-inf,vit-base-patch16-224_batch2-inf,30.0,70.0,0.13636717582417598,0.088897,0.04747017582417599
vit-base-patch16-224_batch2-inf,vit_h_14_batch2-train,30.0,70.0,1.1850454175824199,0.091358,1.0936874175824198
vit-base-patch16-224_batch2-inf,wav2vec2-base-960h_batch2-inf,30.0,70.0,0.24070971428571603,0.089767,0.150942714285716
vit-base-patch16-224_batch2-inf,whisper-large-v2_batch2-inf,30.0,70.0,2.6273974065934085,0.089993,2.5374044065934083
vit_h_14_batch2-train,vit_h_14_batch2-train,30.0,70.0,3.446426274725276,2.320186,1.1262402747252758
wav2vec2-base-960h_batch2-inf,vit_h_14_batch2-train,30.0,70.0,1.4135641978022002,0.307031,1.1065331978022002
whisper-large-v2_batch2-inf,vit_h_14_batch2-train,30.0,70.0,6.565176131868132,5.464481,1.1006951318681317
wav2vec2-base-960h_batch2-inf,wav2vec2-base-960h_batch2-inf,30.0,70.0,0.44834130769230807,0.297619,0.15072230769230802
wav2vec2-base-960h_batch2-inf,whisper-large-v2_batch2-inf,30.0,70.0,2.8019351758241755,0.297974,2.5039611758241755
whisper-large-v2_batch2-inf,whisper-large-v2_batch2-inf,30.0,70.0,7.715755802197803,5.208333,2.507422802197804
